01522399000133,"Comércio varejista de suvenires, bijuterias e artesanatos",PE,RECIFE
05913094000103,Reparação e manutenção de equipamentos eletroeletrônicos de uso pessoal e doméstico,MT,BARRA DO GARCAS
24544631000130,Comércio varejista de outros artigos de uso pessoal e doméstico não especificados anteriormente,RJ,RIO DE JANEIRO
13243288000177,Fotocópias,DF,BRASILIA
07790184000180,"Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas",MG,ITAUNA
01430617000100,Comércio varejista de material elétrico,SP,BIRIGUI
16888105000169,Serviços de borracharia para veículos automotores,SP,LAVRINHAS
08407768000196,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados",RS,CARAZINHO
21900366000197,Comércio varejista de brinquedos e artigos recreativos,MG,ITAJUBA
16716278000108,Comércio varejista de materiais de construção em geral,TO,COLINAS DO TOCANTINS
30246615000163,Comércio varejista de tintas e materiais para pintura,RJ,DUQUE DE CAXIAS
11406200000165,"Suporte técnico, manutenção e outros serviços em tecnologia da informação",DF,BRASILIA
02061094000134,Comércio varejista de gás liqüefeito de petróleo (GLP),MT,CUIABA
04610954000177,Comércio varejista de combustíveis para veículos automotores (Não dispensada *),MT,JUINA
76260017000220,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados",PR,IVAIPORA
03334921000189,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados",PB,CAMPINA GRANDE
10708250000134,Fotocópias,SC,ITAJAI
26538207000108,Fabricação de sorvetes e outros gelados comestíveis,MT,MARCELANDIA
11371888000195,"Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas",SP,CAMPINAS
17272148000188,Comércio varejista de combustíveis para veículos automotores,PA,GOIANESIA DO PARA
10488186000123,Sem descrição,"",""
08861396000254,Sem descrição,"",""
16576682000115,"Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes",RJ,RIO DE JANEIRO
03343001000127,Sem descrição,"",""
00952879000171,Comércio varejista de combustíveis para veículos automotores,MT,RONDONOPOLIS
56250533000186,Comércio atacadista de medicamentos e drogas de uso veterinário,SP,SAO PAULO
07502170000113,Comércio varejista especializado de instrumentos musicais e acessórios,DF,BRASILIA
46952313000140,Comércio varejista de combustíveis para veículos automotores,SP,SAO PAULO
02701230000103,Comércio a varejo de peças e acessórios novos para veículos automotores,RS,PELOTAS
12274495000126,"Confecção, sob medida, de roupas profissionais",BA,SALVADOR
10397690000118,Comércio varejista de artigos do vestuário e acessórios,TO,PALMAS
01950022000185,Sem descrição,RO,VILHENA
89835672000635,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados",RS,BAGE
08131708000193,Comércio varejista de combustíveis para veículos automotores (Não dispensada *),PE,ABREU E LIMA
73210643000133,Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo,SC,CRICIUMA
08631655000170,Serviços de comunicação multimídia - SCM (Não dispensada *),MG,BRASOPOLIS
05635586000184,"Lojas de variedades, exceto lojas de departamentos ou magazines (Não dispensada *)",PA,BELEM
08154339000154,Comércio varejista de combustíveis para veículos automotores,PE,RECIFE
07638491000301,Comércio varejista de outros artigos de uso doméstico não especificados anteriormente,MS,CAMPO GRANDE
09167481000280,"Comércio varejista de artigos de tapeçaria, cortinas e persianas",DF,BRASILIA
40276776000153,Sem descrição,"",""
04665241000100,Padaria e confeitaria com predominância de revenda,PR,RONCADOR
83927343000123,Comércio varejista de ferragens e ferramentas,PA,BELEM
07655710000107,Comércio varejista de outros artigos de uso pessoal e doméstico não especificados anteriormente (Não dispensada *),AL,MACEIO
01740019000137,Serviços de funerárias,RS,VENANCIO AIRES
20498199000137,Comércio a varejo de pneumáticos e câmaras-de-ar,RJ,CAMPOS DOS GOYTACAZES
28196459000121,Comércio varejista de combustíveis para veículos automotores,RJ,TERESOPOLIS
17907564000105,Lavanderias,RS,CANGUCU
34574723000116,Comércio a varejo de peças e acessórios novos para veículos automotores,AM,MANAUS
87951521000102,Comércio varejista de plantas e flores naturais,RS,PORTO ALEGRE
68728088000104,Comércio varejista de livros,RJ,RIO DE JANEIRO
92012467037847,Comércio varejista de artigos do vestuário e acessórios,SC,SAO LOURENCO DO OESTE
10299921000150,Comércio varejista de combustíveis para veículos automotores (Não dispensada *),PE,TRACUNHAEM
15289499000176,Manutenção e reparação de máquinas e equipamentos para uso geral não especificados anteriormente,PA,BELEM
00668693000195,Comércio varejista de combustíveis para veículos automotores,PR,CURITIBA
36229185000158,"Comércio varejista de discos, CDs, DVDs e fitas",RJ,RIO DE JANEIRO
